#Coverage	Number of genomic locations
0.0	3.098307129E9
1.0	508218.0
2.0	215688.0
3.0	106741.0
4.0	78603.0
5.0	60871.0
6.0	53258.0
7.0	44943.0
8.0	41511.0
9.0	36742.0
10.0	36274.0
11.0	33088.0
12.0	31113.0
13.0	28852.0
14.0	27950.0
15.0	27454.0
16.0	26681.0
17.0	25175.0
18.0	24535.0
19.0	23510.0
20.0	22979.0
21.0	22538.0
22.0	21506.0
23.0	20823.0
24.0	20957.0
25.0	20432.0
26.0	19095.0
27.0	18827.0
28.0	18532.0
29.0	18454.0
30.0	17796.0
31.0	18147.0
32.0	17580.0
33.0	17060.0
34.0	16214.0
35.0	16530.0
36.0	16244.0
37.0	15928.0
38.0	15690.0
39.0	15177.0
40.0	14497.0
41.0	14543.0
42.0	14541.0
43.0	14009.0
44.0	14076.0
45.0	13803.0
46.0	13394.0
47.0	13084.0
48.0	13103.0
49.0	12834.0
50.0	13058.0
51.0	12813.0
52.0	12406.0
53.0	12357.0
54.0	12357.0
55.0	12158.0
56.0	11976.0
57.0	11984.0
58.0	11913.0
59.0	11606.0
60.0	11268.0
61.0	11291.0
62.0	11390.0
63.0	10986.0
64.0	10615.0
65.0	10517.0
66.0	10570.0
67.0	10870.0
68.0	10592.0
69.0	10288.0
70.0	10307.0
71.0	9982.0
72.0	10352.0
73.0	9903.0
74.0	9965.0
75.0	9588.0
76.0	9971.0
77.0	10023.0
78.0	9838.0
79.0	9705.0
80.0	9166.0
81.0	9301.0
82.0	9258.0
83.0	8903.0
84.0	8967.0
85.0	8921.0
86.0	8719.0
87.0	8567.0
88.0	8706.0
89.0	8623.0
90.0	8755.0
91.0	8693.0
92.0	8631.0
93.0	8715.0
94.0	8701.0
95.0	8459.0
96.0	8561.0
97.0	8284.0
98.0	8229.0
99.0	8080.0
100.0	7850.0
101.0	8194.0
102.0	8187.0
103.0	8109.0
104.0	8285.0
105.0	8067.0
106.0	8044.0
107.0	7928.0
108.0	7693.0
109.0	7660.0
110.0	7700.0
111.0	7403.0
112.0	7480.0
113.0	7519.0
114.0	7436.0
115.0	7306.0
116.0	7347.0
117.0	7391.0
118.0	7181.0
119.0	7308.0
120.0	7029.0
121.0	7244.0
122.0	7207.0
123.0	7272.0
124.0	7317.0
125.0	7142.0
126.0	7337.0
127.0	7003.0
128.0	6992.0
129.0	6943.0
130.0	6956.0
131.0	6989.0
132.0	6814.0
133.0	7041.0
134.0	6848.0
135.0	7053.0
136.0	6986.0
137.0	6813.0
138.0	6899.0
139.0	6958.0
140.0	6839.0
141.0	6834.0
142.0	6727.0
143.0	6670.0
144.0	6747.0
145.0	6865.0
146.0	6889.0
147.0	6887.0
148.0	6733.0
149.0	6658.0
150.0	6593.0
151.0	6655.0
152.0	6785.0
153.0	6781.0
154.0	6481.0
155.0	6528.0
156.0	6528.0
157.0	6448.0
158.0	6287.0
159.0	6401.0
160.0	6243.0
161.0	6092.0
162.0	6149.0
163.0	6164.0
164.0	5991.0
165.0	5878.0
166.0	5769.0
167.0	5767.0
168.0	5905.0
169.0	5758.0
170.0	5695.0
171.0	5663.0
172.0	5653.0
173.0	5623.0
174.0	5665.0
175.0	5752.0
176.0	5745.0
177.0	5591.0
178.0	5493.0
179.0	5368.0
180.0	5271.0
181.0	5411.0
182.0	5169.0
183.0	5308.0
184.0	5237.0
185.0	5193.0
186.0	4984.0
187.0	4839.0
188.0	4883.0
189.0	4895.0
190.0	4927.0
191.0	4821.0
192.0	4834.0
193.0	4735.0
194.0	4853.0
195.0	4648.0
196.0	4667.0
197.0	4481.0
198.0	4555.0
199.0	4394.0
200.0	4333.0
201.0	4358.0
202.0	4152.0
203.0	4290.0
204.0	4024.0
205.0	4120.0
206.0	4101.0
207.0	3835.0
