#Duplication rate	Coverage
1.0	415516.0
2.0	211995.0
3.0	109356.0
4.0	57951.0
5.0	30959.0
6.0	16439.0
7.0	9113.0
8.0	4866.0
9.0	2762.0
10.0	1473.0
11.0	841.0
12.0	482.0
13.0	286.0
14.0	160.0
15.0	115.0
16.0	66.0
17.0	43.0
18.0	34.0
19.0	21.0
20.0	20.0
21.0	8.0
22.0	13.0
23.0	11.0
24.0	1.0
25.0	10.0
26.0	7.0
27.0	5.0
28.0	4.0
29.0	3.0
30.0	4.0
31.0	4.0
32.0	2.0
33.0	3.0
34.0	1.0
35.0	4.0
36.0	1.0
37.0	1.0
38.0	3.0
39.0	2.0
40.0	3.0
41.0	2.0
42.0	1.0
43.0	1.0
44.0	0.0
45.0	0.0
46.0	3.0
47.0	1.0
48.0	4.0
49.0	2.0
50.0	14.0
