#Insert size (bp)	insert size
2.0	1.0
5.0	3.0
6.0	4.0
7.0	1.0
9.0	5.0
12.0	3.0
13.0	3.0
14.0	4.0
15.0	2.0
16.0	3.0
17.0	1.0
18.0	3.0
19.0	2.0
20.0	5.0
21.0	4.0
22.0	2.0
23.0	6.0
24.0	3.0
25.0	7.0
26.0	3.0
27.0	3.0
28.0	5.0
29.0	4.0
30.0	4.0
31.0	3.0
32.0	3.0
33.0	4.0
34.0	1.0
35.0	4.0
36.0	5.0
37.0	2.0
38.0	6.0
39.0	5.0
40.0	8.0
41.0	3.0
42.0	4.0
43.0	6.0
44.0	4.0
45.0	6.0
46.0	3.0
47.0	5.0
48.0	5.0
49.0	5.0
50.0	11.0
51.0	9.0
52.0	7.0
53.0	6.0
54.0	6.0
55.0	4.0
56.0	7.0
57.0	5.0
58.0	2.0
59.0	4.0
60.0	7.0
61.0	4.0
62.0	6.0
63.0	3.0
64.0	10.0
65.0	10.0
66.0	9.0
67.0	11.0
68.0	5.0
69.0	9.0
70.0	9.0
71.0	5.0
72.0	8.0
73.0	16.0
74.0	18.0
75.0	13.0
76.0	14.0
77.0	15.0
78.0	19.0
79.0	25.0
80.0	17.0
81.0	30.0
82.0	32.0
83.0	17.0
84.0	20.0
85.0	26.0
86.0	32.0
87.0	38.0
88.0	39.0
89.0	35.0
90.0	28.0
91.0	34.0
92.0	49.0
93.0	42.0
94.0	51.0
95.0	39.0
96.0	41.0
97.0	56.0
98.0	38.0
99.0	53.0
100.0	60.0
101.0	57.0
102.0	59.0
103.0	75.0
104.0	70.0
105.0	76.0
106.0	78.0
107.0	93.0
108.0	119.0
109.0	86.0
110.0	90.0
111.0	122.0
112.0	101.0
113.0	116.0
114.0	118.0
115.0	146.0
116.0	128.0
117.0	138.0
118.0	141.0
119.0	112.0
120.0	163.0
121.0	147.0
122.0	159.0
123.0	211.0
124.0	178.0
125.0	226.0
126.0	208.0
127.0	218.0
128.0	236.0
129.0	232.0
130.0	280.0
131.0	241.0
132.0	257.0
133.0	278.0
134.0	291.0
135.0	365.0
136.0	319.0
137.0	341.0
138.0	391.0
139.0	328.0
140.0	374.0
141.0	365.0
142.0	399.0
143.0	403.0
144.0	428.0
145.0	448.0
146.0	520.0
147.0	476.0
148.0	491.0
149.0	541.0
150.0	514.0
151.0	631.0
152.0	572.0
153.0	604.0
154.0	589.0
155.0	736.0
156.0	704.0
157.0	683.0
158.0	700.0
159.0	723.0
160.0	806.0
161.0	838.0
162.0	833.0
163.0	849.0
164.0	907.0
165.0	807.0
166.0	916.0
167.0	1020.0
168.0	956.0
169.0	1021.0
170.0	1072.0
171.0	1014.0
172.0	1074.0
173.0	1135.0
174.0	1214.0
175.0	1159.0
176.0	1241.0
177.0	1279.0
178.0	1302.0
179.0	1262.0
180.0	1347.0
181.0	1462.0
182.0	1382.0
183.0	1423.0
184.0	1462.0
185.0	1488.0
186.0	1592.0
187.0	1569.0
188.0	1662.0
189.0	1711.0
190.0	1770.0
191.0	1785.0
192.0	1794.0
193.0	1757.0
194.0	1767.0
195.0	1943.0
196.0	1976.0
197.0	1793.0
198.0	1947.0
199.0	1973.0
200.0	2139.0
201.0	2078.0
202.0	2097.0
203.0	2269.0
204.0	2273.0
205.0	2314.0
206.0	2252.0
207.0	2344.0
208.0	2323.0
209.0	2403.0
210.0	2571.0
211.0	2494.0
212.0	2612.0
213.0	2587.0
214.0	2645.0
215.0	2571.0
216.0	2676.0
217.0	2604.0
218.0	2793.0
219.0	2759.0
220.0	2714.0
221.0	3014.0
222.0	2848.0
223.0	2821.0
224.0	3047.0
225.0	2918.0
226.0	3161.0
227.0	3061.0
228.0	3214.0
229.0	3179.0
230.0	3237.0
231.0	3297.0
232.0	3441.0
233.0	3163.0
234.0	3410.0
235.0	3417.0
236.0	3497.0
237.0	3425.0
238.0	3389.0
239.0	3536.0
240.0	3588.0
241.0	3494.0
242.0	3553.0
243.0	3588.0
244.0	3580.0
245.0	3590.0
246.0	3779.0
247.0	3492.0
248.0	3737.0
249.0	3803.0
250.0	3857.0
251.0	3794.0
252.0	3824.0
253.0	3810.0
254.0	3799.0
255.0	3917.0
256.0	3846.0
257.0	3924.0
258.0	3783.0
259.0	3899.0
260.0	3983.0
261.0	4011.0
262.0	3862.0
263.0	4174.0
264.0	3898.0
265.0	4012.0
266.0	3886.0
267.0	3992.0
268.0	3999.0
269.0	4148.0
270.0	3928.0
271.0	3985.0
272.0	4001.0
273.0	4136.0
274.0	4210.0
275.0	4125.0
276.0	4055.0
277.0	4022.0
278.0	4104.0
279.0	3989.0
280.0	3996.0
281.0	3948.0
282.0	4019.0
283.0	3982.0
284.0	4160.0
285.0	4023.0
286.0	3926.0
287.0	4065.0
288.0	4169.0
289.0	4090.0
290.0	3937.0
291.0	3991.0
292.0	3857.0
293.0	4097.0
294.0	4006.0
295.0	3941.0
296.0	4095.0
297.0	4043.0
298.0	4084.0
299.0	3889.0
300.0	3945.0
301.0	4007.0
302.0	3913.0
303.0	3977.0
304.0	4017.0
305.0	4094.0
306.0	3860.0
307.0	3842.0
308.0	3857.0
309.0	3919.0
310.0	3862.0
311.0	3902.0
312.0	3915.0
313.0	3765.0
314.0	3759.0
315.0	3840.0
316.0	3912.0
317.0	3778.0
318.0	3640.0
319.0	3629.0
320.0	3669.0
321.0	3713.0
322.0	3880.0
323.0	3665.0
324.0	3705.0
325.0	3778.0
326.0	3654.0
327.0	3639.0
328.0	3597.0
329.0	3504.0
330.0	3691.0
331.0	3532.0
332.0	3569.0
333.0	3549.0
334.0	3518.0
335.0	3455.0
336.0	3518.0
337.0	3482.0
338.0	3414.0
339.0	3483.0
340.0	3290.0
341.0	3377.0
342.0	3335.0
343.0	3240.0
344.0	3373.0
345.0	3382.0
346.0	3173.0
347.0	3254.0
348.0	3205.0
349.0	3234.0
350.0	3411.0
351.0	3183.0
352.0	3125.0
353.0	3099.0
354.0	3029.0
355.0	3008.0
356.0	3142.0
357.0	3134.0
358.0	3045.0
359.0	3070.0
360.0	2967.0
361.0	2975.0
362.0	2804.0
363.0	2886.0
364.0	2931.0
365.0	2870.0
366.0	2797.0
367.0	2722.0
368.0	2765.0
369.0	2770.0
370.0	2779.0
371.0	2711.0
372.0	2684.0
373.0	2647.0
374.0	2544.0
375.0	2764.0
376.0	2592.0
377.0	2558.0
378.0	2494.0
379.0	2605.0
380.0	2626.0
381.0	2325.0
382.0	2478.0
383.0	2492.0
384.0	2424.0
385.0	2500.0
386.0	2423.0
387.0	2398.0
388.0	2288.0
389.0	2419.0
390.0	2322.0
391.0	2331.0
392.0	2287.0
393.0	2330.0
394.0	2210.0
395.0	2343.0
396.0	2227.0
397.0	2144.0
398.0	2228.0
399.0	2064.0
400.0	2093.0
401.0	2061.0
402.0	2090.0
403.0	2164.0
404.0	2033.0
405.0	2071.0
406.0	2076.0
407.0	2045.0
408.0	1927.0
409.0	1965.0
410.0	1941.0
411.0	1940.0
412.0	2011.0
413.0	1818.0
414.0	1838.0
415.0	1810.0
416.0	1757.0
417.0	1901.0
418.0	1709.0
419.0	1765.0
420.0	1766.0
421.0	1778.0
422.0	1782.0
423.0	1806.0
424.0	1700.0
425.0	1721.0
426.0	1626.0
427.0	1651.0
428.0	1627.0
429.0	1652.0
430.0	1560.0
431.0	1600.0
432.0	1542.0
433.0	1463.0
434.0	1525.0
435.0	1517.0
436.0	1454.0
437.0	1403.0
438.0	1471.0
439.0	1425.0
440.0	1489.0
441.0	1376.0
442.0	1442.0
443.0	1432.0
444.0	1280.0
445.0	1229.0
446.0	1292.0
447.0	1261.0
448.0	1233.0
449.0	1236.0
450.0	1248.0
451.0	1243.0
452.0	1298.0
453.0	1197.0
454.0	1099.0
455.0	1128.0
456.0	1131.0
457.0	1169.0
458.0	1178.0
459.0	1174.0
460.0	1023.0
461.0	1038.0
462.0	1098.0
463.0	1061.0
464.0	1013.0
465.0	999.0
466.0	1026.0
467.0	1010.0
468.0	1017.0
469.0	990.0
470.0	1037.0
471.0	937.0
472.0	977.0
473.0	975.0
474.0	967.0
475.0	950.0
476.0	889.0
477.0	843.0
478.0	818.0
479.0	820.0
480.0	862.0
481.0	894.0
482.0	849.0
483.0	881.0
484.0	787.0
485.0	754.0
486.0	758.0
487.0	746.0
488.0	762.0
489.0	741.0
490.0	795.0
491.0	681.0
492.0	738.0
493.0	627.0
494.0	714.0
495.0	689.0
496.0	676.0
497.0	605.0
498.0	634.0
499.0	646.0
500.0	630.0
501.0	595.0
502.0	548.0
503.0	654.0
504.0	586.0
505.0	560.0
506.0	540.0
507.0	509.0
508.0	530.0
509.0	553.0
510.0	533.0
511.0	567.0
512.0	504.0
513.0	469.0
514.0	466.0
515.0	499.0
516.0	458.0
517.0	454.0
518.0	448.0
519.0	428.0
520.0	481.0
521.0	433.0
522.0	464.0
523.0	432.0
524.0	403.0
525.0	430.0
526.0	411.0
527.0	398.0
528.0	372.0
529.0	392.0
530.0	353.0
531.0	380.0
532.0	350.0
533.0	354.0
534.0	379.0
535.0	375.0
536.0	343.0
537.0	360.0
538.0	333.0
539.0	322.0
540.0	318.0
541.0	309.0
542.0	312.0
543.0	324.0
544.0	295.0
545.0	284.0
546.0	290.0
547.0	274.0
548.0	291.0
549.0	257.0
550.0	271.0
551.0	254.0
552.0	227.0
553.0	244.0
554.0	244.0
555.0	213.0
556.0	244.0
557.0	226.0
558.0	230.0
559.0	212.0
560.0	200.0
561.0	216.0
562.0	207.0
563.0	210.0
564.0	190.0
565.0	173.0
566.0	168.0
567.0	190.0
568.0	196.0
569.0	176.0
570.0	161.0
571.0	200.0
572.0	189.0
573.0	137.0
