#Mapping quality	mapping quality
0.0	25910.0
1.0	1786.0
2.0	1279.0
3.0	815.0
4.0	723.0
5.0	820.0
6.0	1113.0
7.0	434.0
8.0	1596.0
9.0	868.0
10.0	470.0
11.0	620.0
12.0	664.0
13.0	531.0
14.0	306.0
15.0	634.0
16.0	447.0
17.0	638.0
18.0	633.0
19.0	753.0
20.0	698.0
21.0	655.0
22.0	1242.0
23.0	735.0
24.0	1143.0
25.0	633.0
26.0	786.0
27.0	1698.0
28.0	893.0
29.0	480.0
30.0	1344.0
31.0	708.0
32.0	1662.0
33.0	867.0
34.0	1029.0
35.0	581.0
36.0	716.0
37.0	857.0
38.0	786.0
39.0	1369.0
40.0	4145.0
41.0	1165.0
42.0	1205.0
43.0	1008.0
44.0	1200.0
45.0	1542.0
46.0	1907.0
47.0	1602.0
48.0	3063.0
49.0	1836.0
50.0	3295.0
51.0	2517.0
52.0	2760.0
53.0	3498.0
54.0	3717.0
55.0	3983.0
56.0	6063.0
57.0	10071.0
58.0	19509.0
59.0	217782.0
60.0	3145820.0
