## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size_histogram.pdf INPUT=../Files_needed_for_task/chr19_rehead.bam OUTPUT=insert_size_metrics.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Feb 07 20:30:50 CET 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
310	274	62	5	55425483	320.516264	94.270782	676795	FR	25	49	73	99	125	155	191	235	305	371	537			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
5	1
7	1
9	2
13	1
14	1
16	1
18	1
19	1
20	2
21	1
23	2
24	3
25	4
26	3
27	2
28	4
29	2
30	3
31	3
32	3
33	2
34	1
35	3
36	4
37	1
38	2
39	3
40	8
41	3
42	4
43	6
44	3
45	5
46	3
47	5
48	3
49	5
50	7
51	6
52	3
53	5
54	5
55	4
56	7
57	4
58	2
59	4
60	4
61	2
62	6
63	3
64	7
65	8
66	6
67	8
68	3
69	7
70	8
71	4
72	6
73	6
74	7
75	11
76	11
77	10
78	13
79	12
80	9
81	16
82	22
83	13
84	9
85	18
86	25
87	23
88	28
89	26
90	18
91	19
92	33
93	29
94	37
95	25
96	35
97	39
98	28
99	37
100	44
101	41
102	45
103	52
104	52
105	57
106	56
107	65
108	75
109	65
110	71
111	88
112	73
113	87
114	84
115	99
116	89
117	99
118	95
119	87
120	123
121	107
122	109
123	146
124	128
125	150
126	147
127	156
128	171
129	160
130	202
131	182
132	179
133	198
134	226
135	253
136	225
137	247
138	281
139	245
140	272
141	283
142	289
143	288
144	316
145	327
146	374
147	341
148	362
149	382
150	369
151	454
152	410
153	430
154	429
155	522
156	510
157	497
158	510
159	521
160	553
161	581
162	615
163	607
164	654
165	598
166	673
167	733
168	694
169	715
170	781
171	746
172	779
173	829
174	881
175	826
176	875
177	898
178	930
179	929
180	934
181	1048
182	972
183	1047
184	1042
185	1066
186	1138
187	1119
188	1200
189	1202
190	1256
191	1274
192	1278
193	1286
194	1292
195	1367
196	1436
197	1304
198	1419
199	1439
200	1530
201	1494
202	1499
203	1681
204	1658
205	1629
206	1606
207	1686
208	1718
209	1709
210	1881
211	1783
212	1879
213	1864
214	1931
215	1884
216	1971
