## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[results/1_read_coverage/target_regions_chr.interval_list] TARGET_INTERVALS=[results/1_read_coverage/target_regions_chr.interval_list] INPUT=../Files_needed_for_task/chr19_rehead.bam OUTPUT=results/1_read_coverage/chr19_hs_metrics.txt VALIDATION_STRINGENCY=LENIENT REFERENCE_SEQUENCE=data/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 11:29:29 CET 2021

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
target_regions_chr	808887	1	119624059	81017037	2951977	0.985501	0.014499	0.596209	147.887231	0.580601	0.504931	2253.108658		0	0	0	0	0	0	808887	3101804739	1380434	1380434	206034831	1380434	1373433	203593073	203593073	104033274	1	1	0.994928	128.612864	119	522	0	0	0	0	0.00814	0.022077	0.084907	0.373897	1.648883	0.999912	0.999714	0.997642	0.993633	0.986258	0.970925	0.941611	0.649845	0.042854	0.000064	0	0	0	0	0	0	0	4.621003	5.540514	0.999434	32			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	71	0
1	160	0
2	160	0
3	196	0
4	212	0
5	304	0
6	170	0
7	188	0
8	216	0
9	230	0
10	253	0
11	222	2381752
12	186	0
13	251	0
14	306	0
15	349	0
16	435	0
17	404	0
18	400	0
19	437	0
20	407	0
21	537	0
22	448	0
23	431	0
24	451	0
25	620	3991660
26	664	0
27	734	0
28	784	0
29	890	0
30	797	2834
31	1034	0
32	1086	0
33	1118	0
34	1105	0
35	1161	0
36	1307	0
37	1396	95309472
38	1677	0
39	1721	0
40	1907	0
41	2052	0
42	2184	0
43	2283	0
44	2263	0
45	2264	0
46	2481	0
47	2562	0
48	2794	0
49	2922	0
50	3005	0
51	3240	0
52	3117	0
53	3230	0
54	3381	0
55	3345	0
56	3501	0
57	3420	0
58	3508	0
59	3506	0
60	3466	0
61	3720	0
62	3830	0
63	3941	0
64	4097	0
65	4037	0
66	4350	0
67	4468	0
68	4523	0
69	4682	0
70	4808	0
71	4711	0
72	4764	0
73	4940	0
74	4919	0
75	4856	0
76	4896	0
77	4947	0
78	4969	0
79	4955	0
80	5126	0
81	5118	0
82	5232	0
83	5198	0
84	5299	0
85	5343	0
86	5525	0
87	5438	0
88	5323	0
89	5552	0
90	5466	0
91	5602	0
92	5862	0
93	5944	0
94	6040	0
95	5929	0
96	6183	0
97	6269	0
98	6303	0
99	6122	0
100	6087	0
101	6133	0
102	6322	0
103	6289	0
104	6223	0
105	6570	0
106	6248	0
107	6282	0
108	6181	0
109	6225	0
110	6378	0
111	6273	0
112	6307	0
113	6186	0
114	6029	0
115	5995	0
116	5902	0
117	5715	0
118	5759	0
119	5711	0
120	5880	0
121	5503	0
122	5624	0
123	5675	0
124	5649	0
125	5495	0
126	5354	0
127	5250	0
128	5168	0
129	5456	0
130	5196	0
131	5242	0
132	5256	0
133	5017	0
134	5086	0
135	5089	0
136	4952	0
137	4818	0
138	4901	0
139	4616	0
140	4555	0
141	4589	0
142	4515	0
143	4474	0
144	4475	0
145	4385	0
146	4243	0
147	4129	0
148	4162	0
149	4170	0
150	3992	0
151	3837	0
152	3870	0
153	3970	0
154	3965	0
155	3890	0
156	3825	0
157	3898	0
158	3698	0
159	3716	0
160	3727	0
161	3632	0
162	3599	0
163	3553	0
164	3608	0
165	3555	0
166	3452	0
167	3456	0
168	3335	0
169	3224	0
170	3324	0
171	3259	0
172	3154	0
173	3278	0
174	3141	0
175	2983	0
176	2990	0
177	2976	0
178	3003	0
179	2883	0
180	2879	0
181	2892	0
182	2796	0
183	2822	0
184	2759	0
185	2565	0
186	2613	0
187	2589	0
188	2520	0
189	2523	0
190	2348	0
191	2324	0
192	2214	0
193	2180	0
194	2080	0
195	2137	0
196	2100	0
197	2077	0
198	2070	0
199	2068	0
200	100563	0

