# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA7	ABCA7	NM_019112.4	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
ACER1	ACER1	NM_133492.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001289177.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001289178.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001289179.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001289180.1	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001321384.2	protein_coding	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_030924.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACTL9	ACTL9	NM_178525.5	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ADAMTSL5	ADAMTSL5	NM_001367197.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTSL5	ADAMTSL5	NM_213604.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRE1	ADGRE1	NM_001256252.2	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0
ADGRE1	ADGRE1	NM_001256253.2	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0
ADGRE1	ADGRE1	NM_001256254.2	protein_coding	0	0	8	1	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	0	0
ADGRE1	ADGRE1	NM_001256255.2	protein_coding	0	0	6	3	0	0	0	0	0	0	0	3	6	0	0	0	1	0	0	0	0
ADGRE1	ADGRE1	NM_001974.5	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0
ADGRE2	ADGRE2	NM_001271052.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGRE2	ADGRE2	NM_013447.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGRE3	ADGRE3	NM_001289158.1	protein_coding	0	0	4	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
ADGRE3	ADGRE3	NM_001289159.2	protein_coding	0	0	3	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
ADGRE3	ADGRE3	NM_032571.5	protein_coding	0	1	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
ALKBH7	ALKBH7	NM_032306.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AMH	AMH	NM_000479.5	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
ANGPTL4	ANGPTL4	NM_001039667.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANGPTL4	ANGPTL4	NM_139314.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANGPTL4	ANGPTL4	NR_104213.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD24	ANKRD24	NM_133475.1	protein_coding	0	3	4	3	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	3	1
AP1M2	AP1M2	NM_001300887.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AP1M2	AP1M2	NM_005498.5	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
APBA3	APBA3	NM_004886.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APC2	APC2	NM_001351273.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
APC2	APC2	NM_005883.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ARHGAP45	ARHGAP45	NM_001258328.3	protein_coding	0	3	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3
ARHGAP45	ARHGAP45	NM_001282334.1	protein_coding	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
ARHGAP45	ARHGAP45	NM_001282335.2	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
